,frequency_dry_to_wet_LENS,frequency_dry_to_wet_LENS_quan_0.05,frequency_dry_to_wet_LENS_quan_0.95,frequency_dry_to_wet_CMIP6,frequency_dry_to_wet_CMIP6_quan_0.05,frequency_dry_to_wet_CMIP6_quan_0.95,frequency_dry_to_wet_ERA5,frequency_dry_to_wet_MERRA2,frequency_dry_to_wet_JRA-55,frequency_dry_to_wet_CHIRPS,frequency_dry_to_wet_GPCC,frequency_dry_to_wet_REGEN_LongTermStns,frequency_wet_to_dry_LENS,frequency_wet_to_dry_LENS_quan_0.05,frequency_wet_to_dry_LENS_quan_0.95,frequency_wet_to_dry_CMIP6,frequency_wet_to_dry_CMIP6_quan_0.05,frequency_wet_to_dry_CMIP6_quan_0.95,frequency_wet_to_dry_ERA5,frequency_wet_to_dry_MERRA2,frequency_wet_to_dry_JRA-55,frequency_wet_to_dry_CHIRPS,frequency_wet_to_dry_GPCC,frequency_wet_to_dry_REGEN_LongTermStns,duration_dry_to_wet_LENS,duration_dry_to_wet_LENS_quan_0.05,duration_dry_to_wet_LENS_quan_0.95,duration_dry_to_wet_CMIP6,duration_dry_to_wet_CMIP6_quan_0.05,duration_dry_to_wet_CMIP6_quan_0.95,duration_dry_to_wet_ERA5,duration_dry_to_wet_MERRA2,duration_dry_to_wet_JRA-55,duration_dry_to_wet_CHIRPS,duration_dry_to_wet_GPCC,duration_dry_to_wet_REGEN_LongTermStns,duration_wet_to_dry_LENS,duration_wet_to_dry_LENS_quan_0.05,duration_wet_to_dry_LENS_quan_0.95,duration_wet_to_dry_CMIP6,duration_wet_to_dry_CMIP6_quan_0.05,duration_wet_to_dry_CMIP6_quan_0.95,duration_wet_to_dry_ERA5,duration_wet_to_dry_MERRA2,duration_wet_to_dry_JRA-55,duration_wet_to_dry_CHIRPS,duration_wet_to_dry_GPCC,duration_wet_to_dry_REGEN_LongTermStns,intensity_dry_to_wet_LENS,intensity_dry_to_wet_LENS_quan_0.05,intensity_dry_to_wet_LENS_quan_0.95,intensity_dry_to_wet_CMIP6,intensity_dry_to_wet_CMIP6_quan_0.05,intensity_dry_to_wet_CMIP6_quan_0.95,intensity_dry_to_wet_ERA5,intensity_dry_to_wet_MERRA2,intensity_dry_to_wet_JRA-55,intensity_dry_to_wet_CHIRPS,intensity_dry_to_wet_GPCC,intensity_dry_to_wet_REGEN_LongTermStns,intensity_wet_to_dry_LENS,intensity_wet_to_dry_LENS_quan_0.05,intensity_wet_to_dry_LENS_quan_0.95,intensity_wet_to_dry_CMIP6,intensity_wet_to_dry_CMIP6_quan_0.05,intensity_wet_to_dry_CMIP6_quan_0.95,intensity_wet_to_dry_ERA5,intensity_wet_to_dry_MERRA2,intensity_wet_to_dry_JRA-55,intensity_wet_to_dry_CHIRPS,intensity_wet_to_dry_GPCC,intensity_wet_to_dry_REGEN_LongTermStns
70,0.35158468834688344,0.2222059620596204,0.49120054200541996,0.3612742054693275,0.2273035230352301,0.504143631436314,0.40152777777777776,0.3923976608187134,0.3896866096866097,,0.40540324814606055,0.3320493852958432,0.3632344173441735,0.23568428184281834,0.49970460704607017,0.3747647203744764,0.23736314363143604,0.5190758807588073,0.38569444444444445,0.37128654970760244,0.38088319088319095,,0.40421980800752594,0.3533004182756234,20.3729069401399,17.703638405140033,22.929455613876755,20.32099373212309,17.597315076659843,22.896622906903602,20.06250020864148,20.158282973739784,20.06355208835661,,18.812459525832065,20.296634635486885,20.252019956512335,17.631952035261655,22.773201190375218,20.32892950196863,17.650465378711193,22.864489538745364,20.135451276345524,20.026059108664413,20.286367981489633,,18.86520425588686,19.74912805744158,3.562777986085657,3.260793815488625,3.906926249792994,3.53518856082875,3.1624169230711052,3.924383167374876,3.9075596149474303,3.8970216499206005,3.9264913657734106,,3.9260065716960124,3.91990612486564,3.5995431087086605,3.296569463661626,3.943393268717366,3.5656732697296136,3.1974567409176617,3.9499623656743967,3.885395694428968,3.875407019476083,3.864080259785299,,3.991578443357407,3.9958943138468963
68,0.3636266937669377,0.23219918699186964,0.5052981029810296,0.3736417836905643,0.23902168021680184,0.5168861788617883,0.41525,0.40108187134502926,0.3986609686609687,,0.41198561372537895,0.34166763238453945,0.3738014905149052,0.24372764227642263,0.5130298102981027,0.3863582163094358,0.24855284552845502,0.5304742547425473,0.39033333333333337,0.3790935672514621,0.3857264957264958,,0.4085216910906708,0.3546707010879866,20.428552970673707,17.82962037553955,22.905162715540804,20.407764506879513,17.79563510163417,22.88808259361774,20.140231293197655,20.255434796450924,20.178532695318843,,19.059746327543873,20.304056642993896,20.32801760984352,17.752866445816235,22.806616925882757,20.388817023686116,17.821316597148616,22.840960692766927,20.132147571174453,20.069472175527096,20.323585698610515,,19.22161952900796,20.028934504691208,3.595773468772299,3.2998921469172133,3.928311773582418,3.5698124492360557,3.2043254507829637,3.949015832520578,3.9196760218443103,3.9122462988266493,3.9309910799734333,,3.934488541671426,3.9139551746036947,3.627118229782873,3.3318520075361118,3.9601494296338617,3.5968939468122665,3.2359707228418095,3.9704046331171376,3.886332519319577,3.8850288878576382,3.872656698402642,,3.9544082222722374,3.952078610148184
66,0.37345054200542,0.24127913279132762,0.5148563685636856,0.384459226410446,0.2491761517615172,0.528422764227642,0.41983333333333334,0.4073976608187135,0.4042735042735043,,0.40503432522941146,0.3509492861313095,0.38415311653116535,0.2530663956639564,0.5239065040650405,0.39605272234540523,0.25782926829268266,0.5404688346883468,0.3957777777777778,0.38076023391812874,0.38683760683760693,,0.3958437538505423,0.35478095087265493,20.463308525570298,17.913959712302148,22.892881713356235,20.470510321405715,17.932055092482415,22.895342947346318,20.20205346358597,20.271849826439503,20.254081617883525,,19.35244685756228,20.348759848247376,20.410135212091948,17.894992257113255,22.840458718912338,20.452561846725995,17.969491441677505,22.842262508477436,20.19582908357696,20.190527422087992,20.319280818040564,,19.463968549561102,20.19527903288347,3.626373131377009,3.3368066242148657,3.9496106775123354,3.602288154408109,3.2430262514874872,3.97344333715594,3.9286603170732173,3.922952459772362,3.935460364760404,,3.922649294430105,3.9197487180250317,3.653731102967808,3.364722537774007,3.9784951797678505,3.626778094665666,3.272102859437025,3.991279885905355,3.8979528920411526,3.9015441803477495,3.896786616486925,,3.948601637019325,3.9409157674928132
64,0.3820995934959349,0.2486219512195118,0.5250271002710026,0.3924577482138458,0.2552710027100267,0.5366720867208669,0.4277222222222222,0.4189766081871345,0.4142165242165242,,0.40037981786400056,0.35353493577578265,0.39217953929539295,0.2589498644986447,0.5346693766937668,0.4016974624291697,0.26341192411924097,0.5479566395663955,0.40427777777777774,0.38549707602339184,0.3915099715099716,,0.3827572643084281,0.3482696925231613,20.47268539292891,17.978067506711543,22.847597016803782,20.52861297899005,18.036012919047284,22.904279084706197,20.29435545925988,20.30528166035461,20.26084020151584,,19.56192454819987,20.38174556879494,20.449612642141826,17.97236065975822,22.84806332456425,20.521855266658818,18.067438019839397,22.878759742588088,20.27185508997264,20.262412720294005,20.293634105332615,,19.633298113852653,20.336469687769963,3.6599243726894928,3.3724956358652793,3.9775313479956744,3.6352504139428783,3.2828191686678547,3.999344482406201,3.9382795226332257,3.9439103386779255,3.9392609585170746,,3.921813606479407,3.9202202608352774,3.684174529198898,3.399370714584864,4.003187615065918,3.658379434778126,3.310642420261389,4.013685816937971,3.916624954982039,3.9246272882543245,3.925985228724942,,3.9490919994450993,3.9235462041119016
62,0.38882588075880753,0.25468563685636814,0.5314891598915988,0.39720029563932013,0.2587018970189698,0.5420325203252029,0.43347222222222226,0.4269005847953216,0.42387464387464385,,0.3927775299282412,0.3571144549620979,0.3984722222222222,0.26327506775067716,0.5425663956639566,0.4046395663956639,0.2659376693766936,0.5511056910569104,0.41055555555555556,0.3982748538011696,0.4033618233618234,,0.38353079690673286,0.35536130910506913,20.461901828973907,17.988762869900807,22.816776253354234,20.58554317142465,18.135166040000566,22.918473420706054,20.429905530604366,20.349036007061077,20.351629278964552,,19.739315313311298,20.37449009013146,20.47547461456585,18.049173512857955,22.82494406240731,20.598993494807445,18.188678956457995,22.916448874862592,20.374038022265854,20.344494690119255,20.380906673066548,,19.808037016097046,20.42238432339877,3.6851628330327113,3.4002769110000544,3.9989619296283823,3.663478350761166,3.320297495098054,4.018126591080165,3.9443551138679918,3.953916934979003,3.9396482394994616,,3.9212255382748142,3.9226031378069326,3.7078749902736976,3.4241028770316726,4.024848166411007,3.6846034247033743,3.3454435764589188,4.035487493394348,3.9305981827892253,3.9367799720559447,3.9401958476446888,,3.9477684093188934,3.9239304903302874
60,0.3947540650406503,0.25947696476964727,0.5385569105691056,0.40103178122690325,0.26243089430894273,0.5468157181571812,0.44177777777777777,0.43429824561403507,0.4317378917378917,,0.40101584063714024,0.37071127325690284,0.40296138211382115,0.2658157181571812,0.5487791327913278,0.40598521803399845,0.2672981029810297,0.5525311653116529,0.41966666666666663,0.41014619883040937,0.4114814814814815,,0.39256473355831656,0.3655172506763285,20.433392956196542,17.989217117365854,22.78231747456421,20.606656348998225,18.180360528190757,22.925446267421815,20.42603265948256,20.341085752687846,20.39914538296022,,19.83576534673953,20.36919788243896,20.47270753768929,18.060415460836545,22.794679872317463,20.651518167818427,18.260660715303374,22.954265153770898,20.407948888993758,20.369398370595476,20.39399626542702,,19.96710509143319,20.423432634990164,3.704143567345568,3.4207493998041167,4.015847128451142,3.6859315014454,3.348478679909862,4.0341074420435366,3.9560163790105216,3.965505870622832,3.953143228861859,,3.9186165570767404,3.9318440005394346,3.725469964547413,3.4416633871418547,4.038398673327406,3.705074837017815,3.370378455877517,4.053761318978498,3.9488094030277177,3.9509934148737926,3.958040435394049,,3.9435588338885554,3.929866415740653
58,0.40048441734417334,0.26457859078590745,0.5447303523035231,0.404008869179601,0.26527642276422736,0.5504986449864493,0.44897222222222216,0.4379239766081871,0.4409401709401708,,0.4111576388496322,0.38474809537883137,0.40704403794037936,0.2692506775067747,0.5547127371273712,0.40610938654841083,0.2673441734417343,0.5538861788617884,0.42897222222222225,0.41318713450292394,0.4187749287749288,,0.40239126170166917,0.3792442368501232,20.380255812134934,17.954427232787012,22.719362002108866,20.586463525864232,18.16776928349793,22.89635544410143,20.420024553658145,20.31241385177196,20.363805723194908,,19.93161100398532,20.33591817172463,20.431475046847268,18.017835022281194,22.747952874792603,20.655349546861157,18.258442112745406,22.9620353727919,20.45332614669395,20.405983489034085,20.417185877025624,,20.048498218969637,20.3546599152009,3.720010893282141,3.43768346294006,4.031455677649698,3.704505134410343,3.369215967802959,4.052071448120184,3.95747400864232,3.967349294555163,3.9611880971007682,,3.925016528757247,3.9406635498298286,3.7408432483106058,3.458559485894425,4.053476435585494,3.720745722158386,3.387393353874172,4.0691295437548645,3.9619679879754575,3.96038237858542,3.969820106020628,,3.951880225867466,3.9485431758378193
56,0.40488143631436313,0.26778590785907824,0.5509552845528456,0.40629021926582914,0.26677506775067733,0.5541761517615171,0.4530833333333333,0.43730994152046776,0.4447578347578347,,0.42069292745281955,0.3905487097408781,0.40938279132791316,0.2711084010840105,0.5582317073170733,0.4051904409953189,0.2671382113821137,0.5529457994579944,0.4355833333333333,0.4167836257309941,0.42549857549857556,,0.41108385581017653,0.38875312833061376,20.35104075884502,17.933182044905173,22.673834589985567,20.553092461740427,18.138409173036173,22.868335971895508,20.398623591965688,20.27895582570584,20.391441077063845,,19.936863116139044,20.254066286996782,20.39494203022018,17.989176677412058,22.703054349220757,20.64278029411836,18.228833263821855,22.96162351690203,20.468201836022907,20.3818940035712,20.479864890115888,,20.10085767025728,20.338204452792777,3.734139579729093,3.4517851560378343,4.044073277006173,3.718961882785108,3.385311517795122,4.06617982781247,3.964308442221052,3.9718612643232336,3.9690071535149443,,3.9260635860608453,3.9453609718897003,3.7540269881288717,3.4706307868768036,4.0693086887660455,3.7338163999883203,3.4014610161632244,4.083247862636656,3.9701305127603335,3.960366132210605,3.9708004981367253,,3.9529106417974194,3.953016583343886
54,0.4086524390243902,0.270582655826558,0.5559159891598917,0.40802217294900234,0.2679728997289972,0.5568997289972897,0.45299999999999996,0.4315497076023391,0.44188034188034175,,0.4211627017665156,0.39134192422293257,0.41073102981029797,0.2726449864498643,0.5586029810298104,0.40449273220004917,0.26598644986449854,0.5517777777777776,0.43708333333333327,0.4151461988304093,0.4297720797720798,,0.4158046010792572,0.3935045616142076,20.330847701122046,17.910556861461224,22.654790911699973,20.515390417998518,18.084018731834306,22.845991065683016,20.37602632039753,20.198624064224163,20.377215643906137,,19.944230792753032,20.16374541676975,20.384236008966198,17.95419280254985,22.700666190946297,20.629873945444526,18.214023626311242,22.952849597790745,20.41922705946793,20.364154043290114,20.583066995407798,,20.143258102444527,20.364448956667086,3.7485808788325885,3.466494032604322,4.058783818961464,3.7307257429039176,3.3984644939105495,4.080121475448103,3.9615958575976062,3.9612256440276314,3.9732084432337285,,3.9233962698940092,3.941436330697951,3.7666071598505555,3.4819045897885967,4.0808207460057035,3.7433018514011493,3.410339846427066,4.096603679753401,3.971334373055269,3.9584167357912943,3.9685069620182407,,3.952869883707129,3.9421871760853726
52,0.41063008130081297,0.27176287262872606,0.5588509485094851,0.4088834688346885,0.2683766937669376,0.5588617886178859,0.44788888888888884,0.4223391812865496,0.43903133903133895,,0.4195299717514326,0.39346346323767545,0.410711382113821,0.2725799457994577,0.5583360433604337,0.40291500369549144,0.26465040650406496,0.5512818428184281,0.4390555555555555,0.41002923976608185,0.43019943019943024,,0.40996695832984975,0.3892568603762151,20.297531729455564,17.88719186783345,22.628087468553645,20.44337478090219,18.00367374679999,22.792657822455304,20.337673353369357,20.152699645358457,20.322741469501047,,19.903777632503385,20.135240732235122,20.36524652498473,17.926860103483204,22.71175161314396,20.582350066990276,18.116291475489266,22.940797002233904,20.373608566267098,20.29115709626609,20.511285054859766,,20.061295726660763,20.26259121651648,3.759890643900521,3.474913139461828,4.07177386458232,3.740203485846834,3.40583520039817,4.092825447112807,3.9599820599546605,3.9549771813126555,3.9766153278380636,,3.9203604791094158,3.930188897617473,3.7773778997711553,3.490137281435622,4.093908968783198,3.751664505447603,3.4147553278011666,4.107520952144472,3.9731619463214765,3.9591127562092474,3.974810546655556,,3.951345076988373,3.9342846614205707
